"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"B13"	12123.43021	5	2.56667e-06	1.64667e-05	1.84667e-05	1.50667e-05	0.0004815	0.00139123	0.00231853	0.00285017	0.00305223	0.0030832	0.0030037	0.00285423	0.00269283	0.00254063	0.00241267	0.00226797	0.00218527	0.00208603	0.00200623	0.00194353	0.00186903	0.00183307	0.00178663	0.0017474	0.00172603	0.00168793	0.00166803	0.00166727	0.0016645	0.00165283	0.0016349	0.00163517	0.00165277	0.00164143	0.0016519	0.00164587	0.00164383	0.00165377	0.001658	0.00167227	0.00167647	0.00168607	0.0016974	0.0016918	0.00171793
"B14"	13062.02576	5	0	9.66667e-07	2.36667e-06	2.5e-06	0.000458267	0.00102253	0.00133033	0.0014154	0.0013296	0.00121293	0.00106807	0.0009541	0.0008438	0.000762167	0.000682467	0.000630667	0.000566967	0.0005296	0.000478967	0.000448167	0.0004205	0.0003914	0.000376433	0.000352033	0.0003299	0.000321667	0.000308967	0.000297367	0.000284633	0.000272633	0.0002609	0.0002495	0.000248767	0.000243367	0.000229833	0.0002262	0.000216867	0.0002201	0.000215667	0.000211367	0.0002086	0.000204967	0.000204467	0.000205333	0.000204567
"B15"	13998.82838	5	0	0	0	1e-07	0.0006028	0.000854067	0.0007793	0.000609467	0.0004599	0.000341767	0.0002699	0.0002098	0.000169733	0.000136467	0.000116133	9.60667e-05	7.68333e-05	7.19333e-05	6.30333e-05	5.37333e-05	4.47333e-05	4.03333e-05	3.50333e-05	3.12667e-05	2.62e-05	2.60333e-05	2.24333e-05	2.33e-05	1.92667e-05	1.89333e-05	1.66333e-05	1.35333e-05	1.54e-05	1.33667e-05	1.30667e-05	1.24667e-05	1.13667e-05	1.23e-05	1.12e-05	1.23e-05	1.14667e-05	1.05333e-05	1.18e-05	1.19667e-05	1.03333e-05
"B17"	15876.61497	5	0	0	0	0	1.79333e-05	6.5e-06	1.6e-06	2e-07	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B8"	7472.319396	5	6.37e-05	8.11667e-05	2.43333e-05	6.8e-06	0.000234333	0.000239467	0.0002402	0.0002487	0.0002503	0.0002438	0.000242767	0.000242567	0.000247133	0.0002464	0.0002482	0.000239467	0.000239067	0.0002458	0.0002438	0.000237967	0.000239433	0.000246667	0.0002444	0.000241767	0.000242667	0.0002425	0.0002486	0.0002442	0.0002432	0.000243133	0.000244767	0.000245267	0.000242667	0.000249567	0.0002506	0.000254633	0.000244533	0.0002482	0.000251967	0.000255367	0.000261367	0.000255667	0.000253933	0.000256367	0.000255
"Be10"	9325.503351	4	0.0001972	0.00205953	0.0042023	0.00551897	0.0171982	0.019281	0.0211048	0.022656	0.023912	0.0247707	0.0254172	0.0256848	0.0258707	0.0258857	0.025869	0.0257487	0.0257035	0.0255775	0.0254353	0.0252599	0.0251492	0.0250127	0.024843	0.0246402	0.0245175	0.0243137	0.0241581	0.0239912	0.02383	0.0236476	0.0235119	0.023351	0.0232296	0.0230719	0.0229906	0.0228679	0.0227602	0.0226352	0.0225554	0.0224742	0.0223758	0.0223091	0.0222709	0.0222491	0.0221876
"Be11"	10264.56477	4	3.53333e-06	1.31667e-05	3.16667e-06	1e-06	1.36667e-06	5.9e-06	2.03333e-05	3.87333e-05	5.93e-05	7.44333e-05	8.44e-05	9.24333e-05	9.31333e-05	9.69333e-05	9.42e-05	9.22333e-05	8.98e-05	8.83667e-05	8.27667e-05	8.38e-05	8.19e-05	8.34e-05	8.01667e-05	7.73667e-05	7.28667e-05	7.46e-05	6.92333e-05	7.05e-05	6.91333e-05	6.93333e-05	6.98333e-05	6.71e-05	6.29667e-05	6.92667e-05	6.56e-05	6.58333e-05	6.72667e-05	6.73e-05	6.62667e-05	6.46e-05	6.61667e-05	6.59333e-05	6.59e-05	6.77667e-05	6.87e-05
"Be12"	11200.96124	4	0	2.33333e-07	1.66667e-07	2e-07	2.68667e-05	0.000138833	0.000316533	0.000485833	0.0005959	0.000649467	0.0006579	0.0006415	0.0006201	0.000583	0.000554633	0.000521767	0.0004994	0.000466933	0.000446667	0.0004264	0.000408133	0.000398467	0.000373367	0.000361667	0.0003568	0.000336567	0.0003377	0.0003315	0.000322933	0.000308433	0.000311033	0.0003074	0.0003038	0.000292833	0.0003041	0.000293	0.000293267	0.0002889	0.000295767	0.000292467	0.000289333	0.000288367	0.000293567	0.000289533	0.000299
"Be14"	13078.82729	4	0	0	0	0	4.62e-05	0.000131867	0.000186067	0.000188967	0.000172667	0.000142533	0.000114233	9.76667e-05	7.52e-05	6.67e-05	5.47e-05	4.33667e-05	3.77333e-05	3.38333e-05	2.88333e-05	2.27667e-05	2.05333e-05	1.69e-05	1.62667e-05	1.54333e-05	1.32667e-05	1.06e-05	9.7e-06	1.06e-05	1.01667e-05	8.03333e-06	8.43333e-06	7.36667e-06	7e-06	6.9e-06	6.5e-06	5.86667e-06	6.63333e-06	5.8e-06	5.4e-06	5.4e-06	6.13333e-06	5.13333e-06	6.16667e-06	5.73333e-06	5.46667e-06
"Be16"	14959.53885	4	0	0	0	0	6.1e-06	6.73333e-06	4.76667e-06	2.53333e-06	1.06667e-06	6.66667e-07	3.66667e-07	1e-07	2e-07	1.66667e-07	6.66667e-08	3.33333e-08	0	0	3.33333e-08	3.33333e-08	3.33333e-08	0	0	0	0	0	3.33333e-08	0	0	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
