"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"Ne19"	17695.03153	10	0.0022167	0.000166367	1.15333e-05	5.93333e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne20"	18617.73218	10	0.0684784	0.000143667	1.9e-06	1.66667e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne21"	19550.53637	10	0.0235823	3.22333e-05	8.96667e-06	3.83333e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne22"	20479.73746	10	0.000414667	1.09333e-05	2.8e-06	1.66667e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"neutron"	939.565378	0	0.748579	1.23937	0.964905	0.960406	1.68564	1.90368	2.08751	2.24459	2.37939	2.49667	2.59699	2.68364	2.75946	2.82452	2.88173	2.93141	2.97558	3.01599	3.052	3.0839	3.1144	3.14182	3.16691	3.19106	3.21246	3.23297	3.2514	3.26921	3.28647	3.30219	3.31677	3.33053	3.34376	3.35649	3.36899	3.3805	3.39115	3.40236	3.41392	3.42482	3.43555	3.44649	3.45679	3.46749	3.47738
"O13"	12128.44888	8	0	1.53333e-06	6.33333e-07	6e-07	0.0049901	0.00207887	0.000617933	0.000161867	3.99333e-05	8.46667e-06	1.66667e-06	3e-07	1.66667e-07	0	0	0	0	0	0	0	3.33333e-08	3.33333e-08	6.66667e-08	1e-07	2e-07	1.66667e-07	3e-07	8.33333e-07	4.66667e-07	5e-07	9e-07	1.13333e-06	1e-06	1.06667e-06	1.1e-06	9.66667e-07	1.03333e-06	9e-07	1.16667e-06	8.33333e-07	8.33333e-07	8.66667e-07	1.16667e-06	7.66667e-07	5e-07
"O14"	13044.83784	8	5.44667e-05	2.19667e-05	0.000694933	0.000887533	0.00358017	0.000411733	2.89e-05	1.26667e-06	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O15"	13971.18011	8	0.0195124	0.0208604	0.00978603	0.0044679	0.000222103	3.76667e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O16"	14895.08153	8	0.082834	0.0071588	0.000740967	0.0001564	1.37931e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O17"	15830.50375	8	0.0809801	0.00718673	0.000542967	8.83333e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O18"	16762.02507	8	0.00361337	0.00152833	6.51333e-05	1.02333e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O19"	17697.63549	8	0.000170967	8.49333e-05	2.63333e-06	1.06667e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O20"	18629.59211	8	3.43333e-06	1.5e-06	3.33333e-08	6.66667e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pi-"	139.57018	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	2.66667e-07	6e-07	1.76667e-06	3.4e-06	8e-06	1.68333e-05	3.15667e-05	5.28667e-05	9.17e-05	0.000159267	0.000280467	0.000491767	0.000814533	0.00129033	0.00201517	0.0029742	0.00425723	0.00591553	0.00793473	0.0104412	0.0133839	0.0168027	0.0207457	0.0251546	0.0301539	0.0354792	0.0415202	0.0479308	0.0547876
"pi+"	139.57018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	1e-07	2e-07	1.06667e-06	2.63333e-06	6.8e-06	1.28e-05	2.43667e-05	4.56667e-05	7.58333e-05	0.000143633	0.000257133	0.000442133	0.000742933	0.0012092	0.00185967	0.0027562	0.00394403	0.00548393	0.0073516	0.009675	0.0123776	0.0156039	0.0192116	0.0234018	0.0280301	0.0332076	0.0388198	0.0449567	0.0515672
"pi0"	134.9766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667e-08	2.66667e-07	5.33333e-07	1.7e-06	3.8e-06	9.56667e-06	1.87667e-05	3.39e-05	5.96667e-05	0.0001013	0.0001746	0.000303333	0.0005122	0.0008513	0.00131897	0.00201077	0.00295023	0.0041915	0.0057699	0.0077109	0.0100328	0.0127927	0.0160165	0.019688	0.0238184	0.0283775	0.0334389	0.0390271	0.0450068	0.0514105
"proton"	938.272013	1	1.03108	1.51191	1.20403	1.1903	1.83949	2.05651	2.24103	2.40037	2.53637	2.65355	2.75335	2.83875	2.91267	2.97563	3.03063	3.07845	3.12088	3.15969	3.19434	3.22503	3.25456	3.28079	3.30493	3.32833	3.34872	3.36831	3.38587	3.40285	3.41928	3.4342	3.44828	3.46173	3.47417	3.48672	3.49855	3.51009	3.52076	3.53158	3.54272	3.55399	3.56482	3.57508	3.58574	3.59705	3.60723
"triton"	2808.921	1	0.0568312	0.265813	0.664538	0.794584	0.135381	0.13518	0.135841	0.137929	0.140778	0.144146	0.147557	0.150991	0.153985	0.156676	0.158918	0.161116	0.163095	0.164929	0.166758	0.16837	0.170115	0.171638	0.173329	0.174698	0.176329	0.177639	0.178887	0.180201	0.181337	0.182424	0.183382	0.184301	0.18497	0.185789	0.186446	0.18709	0.187581	0.188147	0.188528	0.188909	0.189336	0.189553	0.189707	0.190222	0.190351
